Age,Gender,Education Level,Job Title,Years of Experience,Level,Salary
32,Male,Bachelor's,Software Engineer,5,Medium,90000
28,Female,Master's,Data Analyst,3,Fresher,65000
45,Male,PhD,Senior Manager,15,Expert,150000
36,Female,Bachelor's,Sales Associate,7,Medium,60000
52,Male,Master's,Director,20,Expert,200000
29,Male,Bachelor's,Marketing Analyst,2,Fresher,55000
42,Female,Master's,Product Manager,12,Expert,120000
31,Male,Bachelor's,Sales Manager,4,Medium,80000
26,Female,Bachelor's,Marketing Coordinator,1,Fresher,45000
38,Male,PhD,Senior Scientist,10,Medium,110000
29,Male,Master's,Software Developer,3,Fresher,75000
48,Female,Bachelor's,HR Manager,18,Expert,140000
35,Male,Bachelor's,Financial Analyst,6,Medium,65000
40,Female,Master's,Project Manager,14,Expert,130000
27,Male,Bachelor's,Customer Service Rep,2,Fresher,40000
44,Male,Bachelor's,Operations Manager,16,Expert,125000
33,Female,Master's,Marketing Manager,7,Medium,90000
39,Male,PhD,Senior Engineer,12,Expert,115000
25,Female,Bachelor's,Data Entry Clerk,0,Fresher,35000
51,Male,Bachelor's,Sales Director,22,Expert,180000
34,Female,Master's,Business Analyst,5,Medium,80000
47,Male,Master's,VP of Operations,19,Expert,190000
30,Male,Bachelor's,IT Support,2,Fresher,50000
36,Female,Bachelor's,Recruiter,9,Medium,60000
41,Male,Master's,Financial Manager,13,Expert,140000
28,Female,Bachelor's,Social Media Specialist,3,Fresher,45000
37,Female,Master's,Software Manager,11,Expert,110000
24,Male,Bachelor's,Junior Developer,1,Fresher,40000
43,Female,PhD,Senior Consultant,15,Expert,140000
33,Male,Master's,Product Designer,6,Medium,90000
50,Male,Bachelor's,CEO,25,Expert,250000
31,Female,Bachelor's,Accountant,4,Medium,55000
29,Male,Master's,Data Scientist,3,Fresher,75000
39,Female,Bachelor's,Marketing Specialist,10,Medium,65000
46,Male,PhD,Senior Manager,20,Expert,170000
27,Male,Bachelor's,Technical Writer,2,Fresher,45000
35,Female,Bachelor's,HR Generalist,7,Medium,60000
42,Male,Master's,Project Engineer,14,Expert,115000
26,Female,Bachelor's,Customer Success Rep,1,Fresher,40000
49,Male,Bachelor's,Sales Executive,21,Expert,160000
34,Female,Master's,UX Designer,5,Medium,80000
48,Male,Master's,Operations Director,18,Expert,190000
30,Male,Bachelor's,Network Engineer,3,Fresher,60000
36,Female,Bachelor's,Administrative Assistant,8,Medium,45000
41,Male,Master's,Strategy Consultant,13,Expert,130000
28,Female,Bachelor's,Copywriter,2,Fresher,40000
32,Male,Bachelor's,Account Manager,5,Medium,75000
45,Female,Master's,Director of Marketing,16,Expert,180000
38,Male,PhD,Senior Scientist,11,Expert,120000
25,Male,Bachelor's,Help Desk Analyst,0,Fresher,35000
51,Female,Bachelor's,Customer Service Manager,22,Expert,130000
33,Male,Master's,Business Intelligence Analyst,7,Medium,85000
40,Female,Bachelor's,Event Coordinator,12,Expert,60000
47,Male,Master's,VP of Finance,19,Expert,200000
29,Female,Bachelor's,Graphic Designer,3,Fresher,50000
36,Male,Bachelor's,Sales Manager,9,Medium,95000
27,Female,Master's,UX Researcher,2,Fresher,65000
43,Male,PhD,Senior Engineer,17,Expert,140000
30,Female,Bachelor's,Social Media Manager,4,Medium,55000
35,Male,Master's,Product Manager,7,Medium,105000
51,Female,Master's,Director of Operations,23,Expert,170000
29,Male,Bachelor's,Marketing Analyst,3,Fresher,50000
40,Female,Bachelor's,HR Manager,12,Expert,80000
47,Male,PhD,Senior Data Scientist,21,Expert,180000
26,Male,Bachelor's,Junior Accountant,1,Fresher,35000
38,Female,Master's,Digital Marketing Manager,10,Medium,90000
46,Male,Bachelor's,IT Manager,19,Expert,120000
31,Female,Bachelor's,Customer Service Representative,5,Medium,45000
34,Male,Master's,Business Development Manager,8,Medium,90000
49,Female,Master's,Senior Financial Analyst,18,Expert,150000
33,Male,Bachelor's,Web Developer,6,Medium,65000
39,Female,Bachelor's,Recruiter,11,Expert,70000
45,Male,PhD,Research Director,16,Expert,190000
28,Male,Bachelor's,Technical Support Specialist,2,Fresher,40000
42,Female,Master's,Creative Director,14,Expert,120000
37,Male,Bachelor's,Project Manager,10,Medium,95000
50,Female,Bachelor's,Operations Manager,22,Expert,160000
32,Male,Master's,Senior Software Engineer,6,Medium,100000
48,Female,Master's,Human Resources Director,20,Expert,180000
30,Female,Bachelor's,Content Marketing Manager,3,Fresher,55000
36,Male,Bachelor's,Technical Recruiter,8,Medium,70000
41,Female,Master's,Data Analyst,13,Expert,80000
25,Male,Bachelor's,Sales Representative,0,Fresher,30000
52,Male,PhD,Chief Technology Officer,24,Expert,250000
29,Female,Bachelor's,Junior Designer,2,Fresher,40000
34,Female,Master's,Financial Advisor,10,Medium,95000
27,Male,Bachelor's,Junior Account Manager,2,Fresher,45000
40,Female,Bachelor's,HR Generalist,15,Expert,80000
46,Male,Master's,Senior Project Manager,21,Expert,135000
31,Female,Bachelor's,Marketing Coordinator,6,Medium,55000
36,Male,PhD,Principal Scientist,11,Expert,120000
29,Female,Bachelor's,Sales Associate,3,Fresher,40000
43,Male,Bachelor's,Supply Chain Manager,18,Expert,105000
52,Female,Master's,Senior Marketing Manager,25,Expert,170000
33,Male,Bachelor's,Business Analyst,7,Medium,75000
39,Female,Bachelor's,Training Specialist,12,Expert,65000
47,Male,PhD,Research Scientist,22,Expert,160000
26,Male,Bachelor's,Junior Software Developer,1,Fresher,35000
38,Female,Master's,Public Relations Manager,10,Medium,90000
45,Male,Bachelor's,Operations Analyst,20,Expert,110000
31,Female,Bachelor's,Event Coordinator,5,Medium,45000
35,Male,Master's,Product Marketing Manager,8,Medium,95000
49,Female,Master's,Senior HR Manager,19,Expert,150000
33,Male,Bachelor's,Junior Web Developer,5,Medium,50000
39,Female,Master's,Senior Project Coordinator,13,Expert,80000
44,Male,PhD,Chief Data Officer,16,Expert,220000
30,Female,Bachelor's,Digital Content Producer,3,Fresher,50000
36,Male,Bachelor's,IT Support Specialist,7,Medium,60000
41,Female,Master's,Senior Marketing Analyst,14,Expert,100000
28,Male,Bachelor's,Customer Success Manager,2,Fresher,40000
42,Female,Master's,Senior Graphic Designer,15,Expert,110000
37,Male,Bachelor's,Software Project Manager,9,Medium,95000
50,Female,Bachelor's,Supply Chain Analyst,22,Expert,130000
32,Male,Master's,Senior Business Analyst,6,Medium,90000
23,Female,Bachelor's,Junior Marketing Analyst,0.5,Fresher,35000
31,Male,Master's,Senior Financial Analyst,6,Medium,95000
40,Female,Bachelor's,Office Manager,15,Expert,65000
48,Male,PhD,Principal Engineer,20,Expert,170000
29,Female,Bachelor's,Junior HR Generalist,3,Fresher,45000
35,Male,Master's,Senior Product Manager,10,Medium,120000
42,Female,Bachelor's,Sales Manager,17,Expert,100000
53,Male,Master's,Director of Marketing,25,Expert,180000
33,Female,Bachelor's,Junior Operations Analyst,5,Medium,50000
38,Male,Bachelor's,Customer Service Manager,11,Expert,80000
44,Female,PhD,Senior Scientist,16,Expert,140000
26,Male,Bachelor's,Junior Accountant,2,Fresher,40000
37,Female,Master's,Senior HR Generalist,9,Medium,95000
45,Male,Bachelor's,Sales Operations Manager,18,Expert,110000
32,Female,Bachelor's,Marketing Coordinator,4,Medium,50000
34,Male,Master's,Senior Software Developer,8,Medium,105000
50,Female,Master's,Director of Operations,21,Expert,160000
29,Male,Bachelor's,Junior Web Designer,3,Fresher,45000
40,Female,Master's,Senior Training Specialist,12,Expert,100000
47,Male,PhD,Senior Research Scientist,22,Expert,160000
27,Male,Bachelor's,Junior Sales Representative,1,Fresher,35000
39,Female,Bachelor's,Administrative Assistant,10,Medium,55000
46,Male,Master's,Senior Project Manager,19,Expert,140000
